시도,시군구,연도,월,사고건수
서울,송파구,2020년,05월,222.0
서울,송파구,2020년,06월,227.0
서울,송파구,2020년,07월,228.0
서울,송파구,2020년,08월,202.0
서울,송파구,2020년,09월,223.0
서울,송파구,2020년,10월,246.0
서울,송파구,2020년,11월,261.0
서울,송파구,2020년,12월,204.0
서울,서초구,2018년,01월,229.0
서울,서초구,2018년,02월,187.0
서울,서초구,2018년,03월,227.0
서울,서초구,2018년,04월,180.0
서울,서초구,2018년,05월,203.0
서울,서초구,2018년,06월,185.0
서울,서초구,2018년,07월,208.0
서울,서초구,2018년,08월,200.0
서울,서초구,2018년,09월,210.0
서울,서초구,2018년,10월,213.0
서울,서초구,2018년,11월,223.0
서울,서초구,2018년,12월,213.0
서울,서초구,2019년,01월,200.0
서울,서초구,2019년,02월,153.0
서울,서초구,2019년,03월,190.0
서울,서초구,2019년,04월,193.0
서울,서초구,2019년,05월,200.0
서울,서초구,2019년,06월,189.0
서울,서초구,2019년,07월,214.0
서울,서초구,2019년,08월,191.0
서울,서초구,2019년,09월,210.0
서울,서초구,2019년,10월,225.0
서울,서초구,2019년,11월,260.0
서울,서초구,2019년,12월,193.0
서울,서초구,2020년,01월,161.0
서울,서초구,2020년,02월,189.0
서울,서초구,2020년,03월,167.0
서울,서초구,2020년,04월,167.0
서울,서초구,2020년,05월,207.0
서울,서초구,2020년,06월,203.0
서울,서초구,2020년,07월,222.0
서울,서초구,2020년,08월,168.0
서울,서초구,2020년,09월,190.0
서울,서초구,2020년,10월,200.0
서울,서초구,2020년,11월,217.0
서울,서초구,2020년,12월,159.0
서울,양천구,2018년,01월,114.0
서울,양천구,2018년,02월,106.0
서울,양천구,2018년,03월,128.0
서울,양천구,2018년,04월,115.0
서울,양천구,2018년,05월,137.0
서울,양천구,2018년,06월,130.0
서울,양천구,2018년,07월,125.0
서울,양천구,2018년,08월,123.0
서울,양천구,2018년,09월,87.0
서울,양천구,2018년,10월,140.0
서울,양천구,2018년,11월,113.0
서울,양천구,2018년,12월,110.0
서울,양천구,2019년,01월,125.0
서울,양천구,2019년,02월,81.0
서울,양천구,2019년,03월,114.0
서울,양천구,2019년,04월,133.0
서울,양천구,2019년,05월,135.0
