시도,시군구,연도,월,부상자수
서울,중랑구,2018년,10월,227.0
서울,중랑구,2018년,11월,182.0
서울,중랑구,2018년,12월,158.0
서울,중랑구,2019년,01월,153.0
서울,중랑구,2019년,02월,142.0
서울,중랑구,2019년,03월,151.0
서울,중랑구,2019년,04월,178.0
서울,중랑구,2019년,05월,179.0
서울,중랑구,2019년,06월,164.0
서울,중랑구,2019년,07월,175.0
서울,중랑구,2019년,08월,187.0
서울,중랑구,2019년,09월,180.0
서울,중랑구,2019년,10월,229.0
서울,중랑구,2019년,11월,219.0
서울,중랑구,2019년,12월,165.0
서울,중랑구,2020년,01월,184.0
서울,중랑구,2020년,02월,191.0
서울,중랑구,2020년,03월,115.0
서울,중랑구,2020년,04월,156.0
서울,중랑구,2020년,05월,156.0
서울,중랑구,2020년,06월,186.0
서울,중랑구,2020년,07월,143.0
서울,중랑구,2020년,08월,141.0
서울,중랑구,2020년,09월,180.0
서울,중랑구,2020년,10월,212.0
서울,중랑구,2020년,11월,172.0
서울,중랑구,2020년,12월,116.0
서울,노원구,2018년,01월,176.0
서울,노원구,2018년,02월,164.0
서울,노원구,2018년,03월,217.0
서울,노원구,2018년,04월,180.0
서울,노원구,2018년,05월,193.0
서울,노원구,2018년,06월,155.0
서울,노원구,2018년,07월,178.0
서울,노원구,2018년,08월,169.0
서울,노원구,2018년,09월,218.0
